epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.248,3.45387,4.8646,4.21105,0.00182,0.18976,0.00542,0.00145,4.06929,5.08954,4.15926,0.00330952,0.00330952,0.00330952
2,306.509,3.25498,4.38808,3.87475,0.06012,0.10437,0.03331,0.00864,3.07243,7.83225,3.27033,0.00660997,0.00660997,0.00660997
3,428.002,2.65571,3.10523,2.88941,0.12469,0.08454,0.02087,0.00656,3.00075,3.86372,2.89023,0.00987743,0.00987743,0.00987743
4,551.767,2.012,2.36715,2.08787,0.1941,0.33516,0.19343,0.12361,2.23862,3.915,2.02403,0.0098515,0.0098515,0.0098515
5,673.417,1.69941,1.96725,1.7549,0.46875,0.33158,0.24316,0.15427,2.00088,3.4902,1.82026,0.009802,0.009802,0.009802
6,795.142,1.57435,1.80467,1.61981,0.37281,0.44792,0.3117,0.18866,1.82381,3.97791,1.70823,0.0097525,0.0097525,0.0097525
7,917.741,1.42288,1.61909,1.52368,0.44698,0.42975,0.38795,0.23329,1.75152,1.80126,1.62091,0.009703,0.009703,0.009703
8,1040.48,1.40465,1.57917,1.48731,0.50326,0.47107,0.43062,0.27235,1.63163,1.87076,1.5481,0.0096535,0.0096535,0.0096535
9,1162.23,1.33069,1.45511,1.43793,0.51361,0.51296,0.48417,0.30032,1.58253,1.5367,1.47602,0.009604,0.009604,0.009604
10,1283.93,1.27899,1.40753,1.39302,0.5664,0.48823,0.47027,0.30517,1.54509,1.60826,1.45932,0.0095545,0.0095545,0.0095545
11,1407.05,1.25845,1.35098,1.37689,0.45082,0.52768,0.48929,0.31636,1.45892,1.80407,1.40384,0.009505,0.009505,0.009505
12,1529.28,1.1921,1.28818,1.33612,0.59962,0.53359,0.52505,0.3415,1.44908,1.5092,1.41292,0.0094555,0.0094555,0.0094555
13,1651.53,1.20381,1.25692,1.33418,0.60325,0.54891,0.56402,0.3648,1.40518,1.34777,1.35427,0.009406,0.009406,0.009406
14,1774.29,1.16192,1.20985,1.30404,0.64209,0.59948,0.61799,0.40784,1.36754,1.35505,1.34717,0.0093565,0.0093565,0.0093565
15,1896.18,1.15846,1.19384,1.30503,0.62153,0.59991,0.60671,0.39999,1.33536,1.32522,1.30611,0.009307,0.009307,0.009307
16,2016.88,1.1275,1.16622,1.27844,0.68836,0.61211,0.63871,0.42359,1.33425,1.14855,1.30884,0.0092575,0.0092575,0.0092575
17,2141.69,1.12406,1.14265,1.27365,0.63437,0.60099,0.60015,0.38558,1.36462,1.69131,1.3113,0.009208,0.009208,0.009208
18,2265.27,1.09352,1.09226,1.25169,0.73833,0.63136,0.67038,0.44858,1.25113,1.19438,1.25664,0.0091585,0.0091585,0.0091585
19,2389.23,1.08561,1.06711,1.23438,0.74711,0.62644,0.67979,0.44789,1.25205,1.13724,1.2566,0.009109,0.009109,0.009109
20,2510.72,1.06527,1.03777,1.22912,0.73182,0.6475,0.68725,0.45928,1.26619,1.04537,1.26062,0.0090595,0.0090595,0.0090595
21,2633.5,1.0473,1.02587,1.22197,0.72434,0.66675,0.70079,0.47791,1.24074,1.07523,1.23347,0.00901,0.00901,0.00901
22,2755.04,1.04223,1.00274,1.21712,0.70127,0.69743,0.71205,0.47273,1.24635,1.14184,1.24137,0.0089605,0.0089605,0.0089605
23,2877.17,1.04486,0.98326,1.20499,0.74241,0.66823,0.73117,0.49986,1.19067,1.04834,1.21837,0.008911,0.008911,0.008911
24,2999.62,1.03929,1.00871,1.2128,0.78455,0.67643,0.70891,0.48781,1.22613,1.04798,1.24808,0.0088615,0.0088615,0.0088615
25,3120.38,1.03319,0.95923,1.19345,0.79778,0.70953,0.75126,0.51369,1.18294,0.92452,1.2159,0.008812,0.008812,0.008812
26,3243.06,1.00637,0.95291,1.18297,0.75536,0.70609,0.7394,0.51059,1.17067,0.9767,1.19835,0.0087625,0.0087625,0.0087625
27,3365.11,1.0079,0.92894,1.18035,0.74154,0.6854,0.73995,0.51172,1.14803,1.05988,1.18949,0.008713,0.008713,0.008713
28,3488.14,0.98359,0.90513,1.1804,0.75975,0.71036,0.74953,0.52533,1.12926,0.93158,1.18089,0.0086635,0.0086635,0.0086635
29,3609.83,0.97167,0.89721,1.16456,0.7937,0.73208,0.7711,0.54228,1.12658,0.88388,1.17669,0.008614,0.008614,0.008614
30,3733.03,0.97445,0.881,1.16477,0.76794,0.72755,0.77031,0.54357,1.10515,0.93538,1.15863,0.0085645,0.0085645,0.0085645
31,3855.76,0.96857,0.87158,1.16285,0.77823,0.73646,0.77717,0.54401,1.10802,0.85766,1.16122,0.008515,0.008515,0.008515
32,3976.93,0.96171,0.86637,1.16013,0.7828,0.74813,0.77078,0.53834,1.11717,0.86058,1.16106,0.0084655,0.0084655,0.0084655
33,4099.45,0.96681,0.84933,1.15981,0.78559,0.71665,0.77162,0.54137,1.09504,0.92968,1.15872,0.008416,0.008416,0.008416
34,4221.74,0.92587,0.82569,1.14201,0.82453,0.74918,0.79204,0.55753,1.08113,0.79123,1.15153,0.0083665,0.0083665,0.0083665
