epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.531,3.4755,4.78489,4.20619,0.00137,0.18976,0.00475,0.00164,4.05629,5.07307,4.1631,0.00330952,0.00330952,0.00330952
2,309.645,3.43796,4.56905,4.08259,0.25502,0.00904,0.00164,0.00038,3.60268,17.1346,3.76478,0.00660997,0.00660997,0.00660997
3,430.796,2.93496,3.53026,3.19049,0.01549,0.0196,0.00345,0.0013,3.0947,4.78629,3.55474,0.00987743,0.00987743,0.00987743
4,553.333,2.12304,2.53781,2.24226,0.18562,0.22223,0.14111,0.07981,2.38898,4.2261,2.21289,0.0098515,0.0098515,0.0098515
5,677.12,1.77233,2.11174,1.86411,0.42586,0.30959,0.18294,0.09882,2.1716,3.10465,1.98869,0.009802,0.009802,0.009802
6,799.499,1.61686,1.93817,1.69301,0.25208,0.41757,0.30192,0.19625,1.87073,3.82601,1.74822,0.0097525,0.0097525,0.0097525
7,921.926,1.48419,1.7423,1.58977,0.3345,0.3824,0.29774,0.1833,1.75076,2.12252,1.6559,0.009703,0.009703,0.009703
8,1044.81,1.43806,1.67617,1.53473,0.32876,0.4555,0.32361,0.19145,1.70776,3.45854,1.60428,0.0096535,0.0096535,0.0096535
9,1166.68,1.36346,1.54121,1.48476,0.4244,0.48546,0.39428,0.23763,1.67251,1.92393,1.57131,0.009604,0.009604,0.009604
10,1289.59,1.3242,1.48208,1.43978,0.54305,0.48885,0.46278,0.28247,1.62971,1.8921,1.52951,0.0095545,0.0095545,0.0095545
11,1411.32,1.30514,1.42457,1.41915,0.50412,0.45742,0.46094,0.29317,1.55052,1.59297,1.46125,0.009505,0.009505,0.009505
12,1535.26,1.23353,1.34649,1.37702,0.59846,0.50228,0.52599,0.33816,1.47068,1.47957,1.39702,0.0094555,0.0094555,0.0094555
13,1658.01,1.24221,1.33166,1.37131,0.66791,0.52185,0.56046,0.35562,1.44708,1.46209,1.37579,0.009406,0.009406,0.009406
14,1780.58,1.20366,1.2633,1.33936,0.63022,0.53755,0.56064,0.36464,1.41768,1.44849,1.38974,0.0093565,0.0093565,0.0093565
15,1903.25,1.1881,1.25877,1.33826,0.67294,0.56641,0.60565,0.38952,1.38715,1.24346,1.35284,0.009307,0.009307,0.009307
16,2025.03,1.16613,1.21166,1.31409,0.66868,0.58563,0.60333,0.39529,1.36759,1.30984,1.33606,0.0092575,0.0092575,0.0092575
17,2147.19,1.15733,1.18327,1.30488,0.68877,0.59793,0.61615,0.38845,1.36176,1.30854,1.33216,0.009208,0.009208,0.009208
18,2270.29,1.13289,1.13209,1.28461,0.72086,0.6031,0.66008,0.43471,1.32778,1.20313,1.29033,0.0091585,0.0091585,0.0091585
19,2392.24,1.12559,1.11525,1.26808,0.71018,0.60744,0.6452,0.40771,1.38182,1.24699,1.33672,0.009109,0.009109,0.009109
20,2514.73,1.10229,1.07837,1.25885,0.71526,0.62241,0.68062,0.45657,1.30311,1.20814,1.28985,0.0090595,0.0090595,0.0090595
21,2637.52,1.08345,1.06443,1.25585,0.7794,0.61939,0.68262,0.45438,1.26666,1.08096,1.26284,0.00901,0.00901,0.00901
22,2759.12,1.07983,1.05432,1.24834,0.73861,0.64768,0.68092,0.45724,1.27401,1.06594,1.27954,0.0089605,0.0089605,0.0089605
23,2880.61,1.06516,1.02022,1.2308,0.77226,0.64615,0.70687,0.47169,1.24446,1.05766,1.25598,0.008911,0.008911,0.008911
24,3003.51,1.06862,1.04235,1.23922,0.8069,0.61164,0.69385,0.4643,1.24566,1.06461,1.24219,0.0088615,0.0088615,0.0088615
25,3124.25,1.06146,0.98436,1.21572,0.77813,0.65216,0.69978,0.46102,1.26228,1.02178,1.25261,0.008812,0.008812,0.008812
26,3247.51,1.03255,0.96797,1.20866,0.78869,0.6891,0.73027,0.50329,1.19523,0.96206,1.21881,0.0087625,0.0087625,0.0087625
27,3369.97,1.04167,0.95827,1.20982,0.70114,0.6676,0.71129,0.48977,1.16834,1.11032,1.19713,0.008713,0.008713,0.008713
28,3491.95,1.00841,0.92169,1.20985,0.74512,0.67633,0.72028,0.50309,1.18324,1.0454,1.21309,0.0086635,0.0086635,0.0086635
29,3614.56,0.99433,0.91029,1.18952,0.81378,0.70503,0.76273,0.52552,1.17907,0.93743,1.19919,0.008614,0.008614,0.008614
30,3736.28,0.99772,0.90168,1.18834,0.8054,0.68174,0.7432,0.51001,1.18296,0.92308,1.2033,0.0085645,0.0085645,0.0085645
31,3858.22,0.99826,0.88873,1.18808,0.81173,0.71358,0.77051,0.53185,1.14228,0.87354,1.17838,0.008515,0.008515,0.008515
32,3977.67,0.97959,0.88379,1.18068,0.76159,0.70817,0.75552,0.51686,1.17184,1.00929,1.19294,0.0084655,0.0084655,0.0084655
33,4101.53,0.99081,0.86391,1.18064,0.8033,0.70098,0.76666,0.53411,1.14377,0.94965,1.18623,0.008416,0.008416,0.008416
34,4223.92,0.95337,0.83261,1.16216,0.81576,0.72403,0.77114,0.53572,1.13368,0.82146,1.17158,0.0083665,0.0083665,0.0083665
35,4344.91,0.9812,0.85683,1.16696,0.77458,0.74322,0.76635,0.53902,1.13745,0.84853,1.17074,0.008317,0.008317,0.008317
36,4466.84,0.95891,0.8496,1.16772,0.85659,0.7231,0.7843,0.54304,1.12293,0.80896,1.16531,0.0082675,0.0082675,0.0082675
37,4590.54,0.97218,0.83843,1.17403,0.79024,0.7506,0.77797,0.53748,1.11917,0.93487,1.16116,0.008218,0.008218,0.008218
38,4712.79,0.96363,0.82317,1.15831,0.82881,0.71594,0.77758,0.54844,1.09295,0.80399,1.15062,0.0081685,0.0081685,0.0081685
39,4834.05,0.97023,0.84932,1.16294,0.81352,0.73628,0.78837,0.55617,1.10636,0.83951,1.15562,0.008119,0.008119,0.008119
40,4956.96,0.92825,0.7861,1.13935,0.85035,0.74556,0.80204,0.56401,1.08726,0.77164,1.15429,0.0080695,0.0080695,0.0080695
41,5078.5,0.93646,0.79802,1.14595,0.86242,0.73678,0.80195,0.56699,1.06079,0.77048,1.12834,0.00802,0.00802,0.00802
42,5201.43,0.9159,0.79053,1.13972,0.80866,0.76339,0.8024,0.57027,1.05308,0.76242,1.13124,0.0079705,0.0079705,0.0079705
43,5323.06,0.93205,0.79087,1.14901,0.86808,0.7462,0.80117,0.57007,1.06952,0.7283,1.1357,0.007921,0.007921,0.007921
44,5445.26,0.93609,0.78361,1.15211,0.82333,0.75798,0.80043,0.5727,1.04831,0.78119,1.12222,0.0078715,0.0078715,0.0078715
45,5567.36,0.94687,0.7851,1.14649,0.8515,0.76132,0.81059,0.58032,1.0365,0.73048,1.11508,0.007822,0.007822,0.007822
46,5690.04,0.90236,0.74849,1.12632,0.83842,0.75201,0.80959,0.57801,1.02662,0.76298,1.11795,0.0077725,0.0077725,0.0077725
47,5810.48,0.90924,0.75015,1.13203,0.84921,0.77594,0.81542,0.58024,1.03787,0.70912,1.11885,0.007723,0.007723,0.007723
48,5933.78,0.91232,0.76128,1.1242,0.84913,0.77834,0.8168,0.58572,1.03446,0.68967,1.11716,0.0076735,0.0076735,0.0076735
49,6054.96,0.89763,0.74669,1.12565,0.84825,0.77213,0.81566,0.5854,1.01468,0.71038,1.10786,0.007624,0.007624,0.007624
50,6176.06,0.87705,0.72808,1.11368,0.85892,0.77902,0.8174,0.59177,1.03022,0.68604,1.11028,0.0075745,0.0075745,0.0075745
51,6299.6,0.89127,0.72518,1.11248,0.87201,0.76098,0.80522,0.58388,1.04552,0.71983,1.12926,0.007525,0.007525,0.007525
52,6422.7,0.87497,0.72939,1.11727,0.86432,0.74634,0.81402,0.59345,1.00602,0.7198,1.10693,0.0074755,0.0074755,0.0074755
53,6544.28,0.8846,0.72533,1.12003,0.84477,0.78591,0.82046,0.59734,1.01096,0.65815,1.10779,0.007426,0.007426,0.007426
54,6666.39,0.87969,0.71635,1.11258,0.87404,0.77755,0.81695,0.59731,1.005,0.66097,1.10001,0.0073765,0.0073765,0.0073765
55,6788.4,0.88006,0.70343,1.11269,0.8557,0.78267,0.81831,0.59373,1.00022,0.67125,1.0976,0.007327,0.007327,0.007327
56,6912.26,0.86751,0.70424,1.11437,0.85333,0.78172,0.82283,0.59549,0.99146,0.68579,1.09388,0.0072775,0.0072775,0.0072775
57,7034.96,0.87641,0.69445,1.10432,0.87131,0.7864,0.83353,0.60251,0.98185,0.65799,1.08916,0.007228,0.007228,0.007228
58,7157.58,0.85911,0.68684,1.1009,0.83383,0.79329,0.82668,0.60103,0.9836,0.6671,1.08899,0.0071785,0.0071785,0.0071785
59,7278.67,0.84894,0.68118,1.09945,0.86329,0.80776,0.83347,0.60797,0.97989,0.62591,1.08418,0.007129,0.007129,0.007129
60,7400.51,0.84649,0.67101,1.09566,0.87246,0.79418,0.83577,0.60733,0.97571,0.62565,1.08454,0.0070795,0.0070795,0.0070795
61,7524.37,0.85183,0.68353,1.09268,0.86923,0.80038,0.83437,0.60523,0.98553,0.64026,1.09206,0.00703,0.00703,0.00703
62,7646.2,0.86322,0.69165,1.1032,0.87877,0.79888,0.83387,0.61213,0.97349,0.6239,1.078,0.0069805,0.0069805,0.0069805
63,7768.61,0.85997,0.67391,1.0993,0.84461,0.80072,0.83549,0.61056,0.96855,0.65975,1.07772,0.006931,0.006931,0.006931
64,7889.32,0.85948,0.66573,1.09465,0.88102,0.79598,0.84233,0.61368,0.95379,0.61768,1.07378,0.0068815,0.0068815,0.0068815
65,8011.65,0.85586,0.66703,1.0951,0.88493,0.80251,0.84081,0.61685,0.95611,0.59146,1.06711,0.006832,0.006832,0.006832
66,8134.44,0.83844,0.66107,1.09103,0.8786,0.80355,0.84172,0.61858,0.94831,0.60914,1.07174,0.0067825,0.0067825,0.0067825
67,8256.68,0.85309,0.66205,1.08518,0.87255,0.80722,0.84264,0.62267,0.94036,0.60003,1.0683,0.006733,0.006733,0.006733
68,8378.91,0.84073,0.65384,1.08863,0.86001,0.78919,0.83805,0.61212,0.95191,0.64708,1.07188,0.0066835,0.0066835,0.0066835
69,8500.67,0.84561,0.70572,1.08642,0.89899,0.79673,0.84679,0.62281,0.94257,0.58541,1.06321,0.006634,0.006634,0.006634
70,8622.65,0.86115,0.65863,1.08857,0.86399,0.79672,0.84308,0.6195,0.9355,0.63241,1.05893,0.0065845,0.0065845,0.0065845
71,8744.58,0.83352,0.63727,1.07705,0.87203,0.80373,0.83788,0.61881,0.94663,0.60258,1.06208,0.006535,0.006535,0.006535
72,8868.48,0.8328,0.63471,1.08598,0.89183,0.80052,0.84419,0.62106,0.93515,0.58361,1.05927,0.0064855,0.0064855,0.0064855
73,8991.01,0.82009,0.63381,1.07712,0.89893,0.80913,0.852,0.62854,0.92569,0.57119,1.05494,0.006436,0.006436,0.006436
74,9112.78,0.82092,0.62249,1.07822,0.88113,0.81492,0.84482,0.62459,0.92304,0.56823,1.05496,0.0063865,0.0063865,0.0063865
75,9234.22,0.8069,0.61296,1.07083,0.88426,0.81045,0.8502,0.63147,0.91156,0.5885,1.05081,0.006337,0.006337,0.006337
76,9357.58,0.82827,0.62946,1.08574,0.89517,0.81634,0.85095,0.6361,0.91765,0.55554,1.04806,0.0062875,0.0062875,0.0062875
77,9479.21,0.81273,0.65891,1.06465,0.88362,0.8131,0.84613,0.63002,0.91377,0.57303,1.04838,0.006238,0.006238,0.006238
78,9600.25,0.81036,0.61618,1.07585,0.88966,0.81829,0.84838,0.63068,0.9109,0.56085,1.04736,0.0061885,0.0061885,0.0061885
79,9723.76,0.79644,0.60897,1.07432,0.9037,0.8153,0.85269,0.63412,0.91727,0.55179,1.04821,0.006139,0.006139,0.006139
80,9845.09,0.81098,0.61328,1.07148,0.8981,0.82134,0.84842,0.63244,0.90762,0.55521,1.04508,0.0060895,0.0060895,0.0060895
81,9966.79,0.80714,0.61405,1.06217,0.89683,0.81685,0.84763,0.63699,0.91328,0.54448,1.04402,0.00604,0.00604,0.00604
82,10089.5,0.80687,0.60401,1.06733,0.88147,0.82579,0.85241,0.64143,0.90278,0.53576,1.0408,0.0059905,0.0059905,0.0059905
83,10211,0.81336,0.59715,1.06735,0.89737,0.81748,0.84935,0.63649,0.89894,0.54388,1.04155,0.005941,0.005941,0.005941
84,10332.6,0.81158,0.618,1.07341,0.91398,0.81155,0.85231,0.63655,0.90379,0.54412,1.04072,0.0058915,0.0058915,0.0058915
85,10456.5,0.80677,0.60447,1.0663,0.91416,0.80921,0.85853,0.63787,0.89196,0.54146,1.03418,0.005842,0.005842,0.005842
86,10577.5,0.81361,0.60731,1.07068,0.90734,0.82545,0.85957,0.63897,0.89695,0.53659,1.04031,0.0057925,0.0057925,0.0057925
87,10700.9,0.78022,0.58771,1.05901,0.88035,0.82927,0.85332,0.64028,0.90184,0.54086,1.04297,0.005743,0.005743,0.005743
88,10821.8,0.78893,0.58625,1.0611,0.88523,0.8293,0.85658,0.64146,0.89158,0.53111,1.0362,0.0056935,0.0056935,0.0056935
89,10945.6,0.78884,0.58538,1.06344,0.88987,0.82204,0.85611,0.64102,0.89081,0.5399,1.03678,0.005644,0.005644,0.005644
90,11067.2,0.7723,0.61648,1.05592,0.88997,0.83183,0.8563,0.6453,0.88581,0.52064,1.03123,0.0055945,0.0055945,0.0055945
91,11189.6,0.80567,0.59088,1.06327,0.87986,0.83179,0.8583,0.64542,0.88661,0.52509,1.02959,0.005545,0.005545,0.005545
92,11312.7,0.78204,0.5759,1.05844,0.87719,0.83059,0.85542,0.64433,0.88377,0.52338,1.03246,0.0054955,0.0054955,0.0054955
93,11433.1,0.779,0.56596,1.0502,0.9113,0.82495,0.86345,0.64234,0.8851,0.51813,1.02849,0.005446,0.005446,0.005446
