epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.998,3.43847,4.80364,4.20738,0.00195,0.18825,0.00731,0.00215,4.02907,8.89899,3.95925,0.00330952,0.00330952,0.00330952
2,468.921,3.35162,4.3995,3.94066,0.0761,0.06515,0.022,0.00562,3.08143,17.1457,3.09746,0.00660997,0.00660997,0.00660997
3,663.257,2.77756,3.22053,3.07527,0.0439,0.11058,0.03873,0.01496,2.8808,57.4796,2.85015,0.00987743,0.00987743,0.00987743
4,849.57,2.13731,2.44625,2.3116,0.29633,0.20737,0.15488,0.08798,2.23578,4.06903,2.04998,0.0098515,0.0098515,0.0098515
5,1026.16,1.79389,2.08521,1.90039,0.21756,0.36134,0.17827,0.10315,2.12536,7.44755,1.92357,0.009802,0.009802,0.009802
6,1184.1,1.64563,1.91052,1.70041,0.42292,0.36371,0.31789,0.17457,2.02881,2.23155,1.81315,0.0097525,0.0097525,0.0097525
7,1300.38,1.52256,1.71996,1.61197,0.50851,0.43701,0.37787,0.23169,1.84747,2.28006,1.67421,0.009703,0.009703,0.009703
8,1410.4,1.47138,1.63697,1.55871,0.43466,0.44025,0.40401,0.24213,1.77995,1.87888,1.58278,0.0096535,0.0096535,0.0096535
9,1521.8,1.39023,1.53675,1.48921,0.46563,0.49048,0.42156,0.26523,1.7449,2.06557,1.56123,0.009604,0.009604,0.009604
10,1634.28,1.35254,1.48885,1.45539,0.59355,0.47393,0.48722,0.29905,1.62592,1.64606,1.46694,0.0095545,0.0095545,0.0095545
11,1749.24,1.31024,1.4088,1.43939,0.46274,0.48131,0.44572,0.28828,1.64873,2.28103,1.50318,0.009505,0.009505,0.009505
12,1859.23,1.23116,1.36282,1.37288,0.58057,0.51234,0.5177,0.32521,1.58155,1.48692,1.39607,0.0094555,0.0094555,0.0094555
13,1969.16,1.20135,1.28908,1.34882,0.60923,0.58049,0.57646,0.36678,1.46004,1.4247,1.34979,0.009406,0.009406,0.009406
14,2139.66,1.19429,1.2458,1.34399,0.62386,0.55163,0.57918,0.36949,1.46366,1.38884,1.36369,0.0093565,0.0093565,0.0093565
15,2318.9,1.18455,1.21671,1.32753,0.67129,0.55527,0.59615,0.38202,1.45043,1.33818,1.33436,0.009307,0.009307,0.009307
16,2492.94,1.16872,1.20002,1.31942,0.67502,0.59372,0.62047,0.41221,1.40097,1.33729,1.31051,0.0092575,0.0092575,0.0092575
17,2605.68,1.1361,1.16416,1.29884,0.72349,0.60534,0.6583,0.42481,1.39273,1.17625,1.29885,0.009208,0.009208,0.009208
18,2717.57,1.14591,1.19508,1.28971,0.68126,0.6071,0.6447,0.42831,1.33179,1.16848,1.25568,0.0091585,0.0091585,0.0091585
19,2829.12,1.11689,1.11041,1.27419,0.67187,0.6182,0.63871,0.41772,1.38104,1.2153,1.29158,0.009109,0.009109,0.009109
20,2939.48,1.1109,1.08623,1.26939,0.72409,0.60796,0.66678,0.43867,1.36642,1.14976,1.26819,0.0090595,0.0090595,0.0090595
21,3049.49,1.08044,1.04643,1.25707,0.7338,0.63167,0.67626,0.44843,1.33466,1.07843,1.25459,0.00901,0.00901,0.00901
22,3161.14,1.07651,1.04081,1.25752,0.72121,0.67141,0.71206,0.476,1.31081,1.10509,1.22267,0.0089605,0.0089605,0.0089605
23,3272.11,1.06409,1.02279,1.23985,0.74693,0.6832,0.72111,0.4923,1.2691,1.02471,1.20576,0.008911,0.008911,0.008911
24,3382.84,1.05634,1.03572,1.22622,0.72917,0.63008,0.68585,0.44717,1.33987,1.07015,1.24637,0.0088615,0.0088615,0.0088615
25,3492.31,1.03923,0.96638,1.21729,0.76679,0.6587,0.709,0.47639,1.30498,1.06808,1.22374,0.008812,0.008812,0.008812
26,3602.01,1.03826,0.96032,1.21061,0.76752,0.69023,0.73013,0.50256,1.23262,0.97979,1.19279,0.0087625,0.0087625,0.0087625
27,3712.39,1.02531,0.95659,1.21218,0.81996,0.66453,0.73969,0.50405,1.22511,0.94404,1.18927,0.008713,0.008713,0.008713
28,3822.73,1.02339,0.94431,1.2051,0.75354,0.68597,0.72395,0.49821,1.25547,0.96994,1.2065,0.0086635,0.0086635,0.0086635
29,3932.83,1.00168,0.91703,1.19442,0.77875,0.70753,0.74672,0.51548,1.2267,0.91906,1.17155,0.008614,0.008614,0.008614
30,4042.45,0.99919,0.90291,1.18971,0.76713,0.71969,0.75915,0.52388,1.18446,0.97558,1.15867,0.0085645,0.0085645,0.0085645
31,4153.53,0.98331,0.88872,1.17669,0.76499,0.70711,0.74976,0.51365,1.22036,0.93673,1.17831,0.008515,0.008515,0.008515
32,4264.62,0.97936,0.87124,1.17579,0.81533,0.72934,0.76198,0.52929,1.20029,0.84991,1.17318,0.0084655,0.0084655,0.0084655
33,4375.7,0.95149,0.85522,1.17275,0.75003,0.71672,0.75465,0.529,1.17403,0.91752,1.15765,0.008416,0.008416,0.008416
34,4535.73,0.96577,0.86518,1.17027,0.79161,0.72837,0.77296,0.55065,1.13557,0.86862,1.1337,0.0083665,0.0083665,0.0083665
35,4710.26,0.98083,0.85298,1.17779,0.80754,0.73794,0.77919,0.54226,1.17796,0.87638,1.14729,0.008317,0.008317,0.008317
36,4897.14,0.9486,0.83753,1.16881,0.82153,0.74121,0.77973,0.54255,1.17877,0.81377,1.15068,0.0082675,0.0082675,0.0082675
37,5082.34,0.95771,0.82938,1.16768,0.79776,0.73255,0.77435,0.54158,1.16776,0.8466,1.14407,0.008218,0.008218,0.008218
38,5267.43,0.94474,0.81491,1.15013,0.80581,0.73685,0.78076,0.55649,1.12802,0.85638,1.1271,0.0081685,0.0081685,0.0081685
39,5455.06,0.93924,0.82607,1.15467,0.83087,0.72977,0.77487,0.55391,1.14649,0.80361,1.14047,0.008119,0.008119,0.008119
