epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.022,3.4382,4.80967,4.22623,0.00192,0.18524,0.00779,0.00212,4.03038,8.90057,3.96042,0.00330952,0.00330952,0.00330952
2,227.358,3.32334,4.37196,3.94174,0.28282,0.09758,0.01539,0.00439,3.14428,12.6984,3.1815,0.00660997,0.00660997,0.00660997
3,334.042,2.67151,3.15328,2.93884,0.30186,0.02412,0.01623,0.00523,3.27597,5.50845,3.14535,0.00987743,0.00987743,0.00987743
4,445.346,1.97776,2.35197,2.10626,0.19331,0.32748,0.1957,0.11667,2.3094,4.48176,2.01945,0.0098515,0.0098515,0.0098515
5,552.437,1.71093,2.0421,1.78533,0.21161,0.35579,0.24417,0.16272,2.09347,3.81383,1.79778,0.009802,0.009802,0.009802
6,661.618,1.57178,1.9062,1.61881,0.47039,0.41997,0.35078,0.20992,1.91449,3.01666,1.64449,0.0097525,0.0097525,0.0097525
7,770.202,1.46226,1.69197,1.53911,0.38119,0.36789,0.32611,0.20432,1.97566,2.3997,1.70577,0.009703,0.009703,0.009703
8,880.539,1.40751,1.60727,1.49032,0.42998,0.45589,0.42392,0.27305,1.74292,1.8204,1.51413,0.0096535,0.0096535,0.0096535
9,1017.13,1.33989,1.50102,1.43399,0.4513,0.44722,0.42643,0.28316,1.69361,1.89157,1.4924,0.009604,0.009604,0.009604
10,1190.38,1.31087,1.43195,1.41109,0.5354,0.51392,0.50857,0.32663,1.64272,1.73203,1.42689,0.0095545,0.0095545,0.0095545
11,1365.72,1.28065,1.37748,1.39637,0.46182,0.52566,0.45738,0.28896,1.62687,2.04682,1.43161,0.009505,0.009505,0.009505
12,1537.95,1.19679,1.32446,1.3338,0.56995,0.52314,0.51747,0.33685,1.57929,1.50813,1.3849,0.0094555,0.0094555,0.0094555
13,1717.94,1.1737,1.24254,1.31817,0.64181,0.5705,0.59815,0.39004,1.45624,1.35224,1.32345,0.009406,0.009406,0.009406
14,1892.45,1.16252,1.21637,1.30649,0.65152,0.5683,0.59543,0.39404,1.42801,1.39153,1.30824,0.0093565,0.0093565,0.0093565
15,2071.73,1.16228,1.18648,1.29882,0.69851,0.56865,0.6194,0.41924,1.39775,1.23523,1.2869,0.009307,0.009307,0.009307
16,2245.05,1.13292,1.15808,1.28458,0.6471,0.626,0.64404,0.43283,1.34339,1.29295,1.26344,0.0092575,0.0092575,0.0092575
17,2424.85,1.11438,1.11453,1.27236,0.71624,0.62221,0.64858,0.41498,1.40441,1.2745,1.30347,0.009208,0.009208,0.009208
18,2599.46,1.13009,1.14432,1.26201,0.67569,0.61421,0.63497,0.42113,1.36062,1.24001,1.27172,0.0091585,0.0091585,0.0091585
19,2776.45,1.09572,1.06256,1.25339,0.66661,0.65325,0.66344,0.43684,1.34644,1.23006,1.25453,0.009109,0.009109,0.009109
20,2957.45,1.07631,1.04295,1.24044,0.75593,0.63943,0.69276,0.46356,1.29455,1.06284,1.21574,0.0090595,0.0090595,0.0090595
21,3134.91,1.05639,1.00871,1.23156,0.73073,0.64291,0.68429,0.46547,1.2824,1.07398,1.20895,0.00901,0.00901,0.00901
22,3315.99,1.05243,1.0242,1.23419,0.71844,0.66418,0.70817,0.47628,1.293,1.09217,1.22605,0.0089605,0.0089605,0.0089605
23,3497.74,1.0397,0.99172,1.21451,0.79184,0.66895,0.71856,0.47925,1.25652,1.01964,1.1966,0.008911,0.008911,0.008911
24,3680.76,1.03126,0.98284,1.20743,0.79298,0.63792,0.70289,0.47311,1.28801,1.05224,1.20826,0.0088615,0.0088615,0.0088615
25,3853.58,1.01998,0.9439,1.19857,0.75335,0.66519,0.70713,0.48121,1.281,1.02597,1.20396,0.008812,0.008812,0.008812
26,4045.18,1.00285,0.93251,1.18458,0.78579,0.69892,0.74521,0.50877,1.2339,0.94013,1.17875,0.0087625,0.0087625,0.0087625
27,4212.96,1.0011,0.92133,1.1894,0.80726,0.66711,0.73568,0.50444,1.22662,1.00441,1.17789,0.008713,0.008713,0.008713
28,4393.14,0.9938,0.90614,1.17736,0.746,0.71199,0.73977,0.51421,1.20722,0.95853,1.1663,0.0086635,0.0086635,0.0086635
29,4565.39,0.97019,0.87912,1.16884,0.80314,0.70724,0.75362,0.51944,1.20738,0.92181,1.16392,0.008614,0.008614,0.008614
30,4744.22,0.97734,0.88383,1.16905,0.77678,0.71489,0.75717,0.52078,1.18973,0.9696,1.15017,0.0085645,0.0085645,0.0085645
31,4920.71,0.96119,0.85838,1.1552,0.7541,0.73372,0.75279,0.53299,1.15046,0.91118,1.14296,0.008515,0.008515,0.008515
32,5089.4,0.94903,0.84986,1.15243,0.79765,0.72183,0.7587,0.52457,1.18025,0.88982,1.15774,0.0084655,0.0084655,0.0084655
33,5276.63,0.92979,0.84683,1.15098,0.78647,0.70829,0.7501,0.52706,1.15583,0.89173,1.14624,0.008416,0.008416,0.008416
34,5457,0.94433,0.84181,1.1494,0.77517,0.72483,0.76664,0.54433,1.1501,0.85993,1.12942,0.0083665,0.0083665,0.0083665
35,5644.11,0.9597,0.83616,1.15775,0.78235,0.70973,0.7659,0.53615,1.16729,0.97043,1.14028,0.008317,0.008317,0.008317
36,5825.36,0.92865,0.83676,1.15197,0.8143,0.74713,0.78459,0.55617,1.10895,0.78504,1.11627,0.0082675,0.0082675,0.0082675
37,5988.67,0.94302,0.81403,1.14973,0.80444,0.75179,0.78503,0.55615,1.12262,0.80044,1.12506,0.008218,0.008218,0.008218
38,6175.1,0.93377,0.80761,1.13638,0.82801,0.7452,0.78176,0.56196,1.10624,0.75817,1.11558,0.0081685,0.0081685,0.0081685
39,6348.98,0.91806,0.78591,1.13458,0.77143,0.75228,0.78979,0.56378,1.12133,0.81967,1.11653,0.008119,0.008119,0.008119
40,6522.39,0.92171,0.7857,1.1399,0.82841,0.77155,0.79833,0.56209,1.11668,0.77334,1.11616,0.0080695,0.0080695,0.0080695
41,6708.54,0.91954,0.79163,1.12195,0.83806,0.7483,0.79215,0.56252,1.12498,0.76141,1.1153,0.00802,0.00802,0.00802
42,6877.28,0.91306,0.77608,1.12991,0.84143,0.74795,0.79972,0.56768,1.12302,0.76015,1.11403,0.0079705,0.0079705,0.0079705
43,7048.72,0.90012,0.75774,1.12411,0.7866,0.76601,0.8012,0.57411,1.10525,0.84605,1.10946,0.007921,0.007921,0.007921
44,7224.37,0.91676,0.75891,1.12819,0.8589,0.75844,0.80557,0.58203,1.08308,0.71392,1.093,0.0078715,0.0078715,0.0078715
45,7404.39,0.91216,0.7564,1.13204,0.79522,0.7352,0.79003,0.56821,1.1011,0.84229,1.10783,0.007822,0.007822,0.007822
46,7580.95,0.88847,0.7445,1.10853,0.82843,0.75894,0.79619,0.57045,1.0885,0.71761,1.09778,0.0077725,0.0077725,0.0077725
47,7758.36,0.89321,0.73896,1.11028,0.8389,0.76175,0.80055,0.57736,1.0795,0.71832,1.09259,0.007723,0.007723,0.007723
48,7934.46,0.8868,0.7307,1.10975,0.85255,0.76314,0.81048,0.58179,1.06948,0.70813,1.08719,0.0076735,0.0076735,0.0076735
49,8111.01,0.88223,0.72851,1.10962,0.83765,0.74921,0.79856,0.57633,1.08752,0.72979,1.09436,0.007624,0.007624,0.007624
50,8291.19,0.87069,0.72066,1.10043,0.84201,0.75266,0.81072,0.58609,1.06346,0.74818,1.08557,0.0075745,0.0075745,0.0075745
51,8468.67,0.87989,0.71595,1.10864,0.8619,0.77367,0.81364,0.5787,1.06111,0.68036,1.08478,0.007525,0.007525,0.007525
52,8646.86,0.86019,0.70289,1.09446,0.84754,0.78066,0.81377,0.58834,1.05327,0.6952,1.07308,0.0074755,0.0074755,0.0074755
53,8830.94,0.89215,0.72516,1.10977,0.82669,0.79462,0.81768,0.5957,1.04344,0.67626,1.07196,0.007426,0.007426,0.007426
54,9013.58,0.88411,0.75588,1.1077,0.86945,0.78587,0.8248,0.59855,1.03088,0.65539,1.07096,0.0073765,0.0073765,0.0073765
55,9195.91,0.85438,0.6968,1.0969,0.82035,0.77497,0.8188,0.59324,1.03054,0.68819,1.07598,0.007327,0.007327,0.007327
56,9371.76,0.85699,0.68405,1.09731,0.8671,0.79041,0.82463,0.59844,1.0446,0.65225,1.07085,0.0072775,0.0072775,0.0072775
57,9550.87,0.85568,0.69747,1.09688,0.85133,0.78116,0.82457,0.59999,1.02561,0.67888,1.0658,0.007228,0.007228,0.007228
58,9730.92,0.85308,0.68845,1.09418,0.8486,0.81744,0.83729,0.61145,1.0148,0.62322,1.05803,0.0071785,0.0071785,0.0071785
59,9900.33,0.86641,0.69177,1.09866,0.85548,0.78667,0.82417,0.60141,1.02035,0.65947,1.06373,0.007129,0.007129,0.007129
60,10078.9,0.86649,0.7066,1.09418,0.85556,0.78412,0.82764,0.60713,1.00306,0.64001,1.05216,0.0070795,0.0070795,0.0070795
61,10264.7,0.8463,0.66926,1.08948,0.86631,0.79711,0.82636,0.60522,1.01715,0.63359,1.05911,0.00703,0.00703,0.00703
62,10444.2,0.82982,0.65559,1.08695,0.86869,0.78952,0.82569,0.6082,1.0146,0.63551,1.05256,0.0069805,0.0069805,0.0069805
63,10621.9,0.82972,0.65729,1.08878,0.86786,0.78751,0.82877,0.60687,1.01083,0.61268,1.05702,0.006931,0.006931,0.006931
64,10801.2,0.85079,0.66114,1.093,0.87419,0.78464,0.83442,0.61474,1.00939,0.61305,1.05247,0.0068815,0.0068815,0.0068815
65,10980.4,0.84188,0.66228,1.08476,0.8636,0.79992,0.83392,0.61218,1.01541,0.63555,1.05419,0.006832,0.006832,0.006832
66,11160,0.82447,0.64894,1.07923,0.87558,0.80015,0.84498,0.6178,0.98799,0.59348,1.04536,0.0067825,0.0067825,0.0067825
67,11335.7,0.83939,0.64836,1.08296,0.87886,0.79359,0.83243,0.61594,0.99783,0.60959,1.0503,0.006733,0.006733,0.006733
68,11504,0.81867,0.63341,1.07033,0.90146,0.80531,0.83916,0.61861,0.99384,0.5937,1.05005,0.0066835,0.0066835,0.0066835
69,11687.5,0.84434,0.65531,1.08196,0.88593,0.81074,0.84121,0.62074,0.97562,0.58619,1.04011,0.006634,0.006634,0.006634
70,11871,0.82599,0.63339,1.07683,0.85646,0.81162,0.84319,0.62379,0.97798,0.58079,1.04076,0.0065845,0.0065845,0.0065845
71,12051.7,0.81346,0.63471,1.06816,0.8961,0.78432,0.83388,0.61676,0.97715,0.59978,1.03989,0.006535,0.006535,0.006535
72,12234.4,0.82162,0.63927,1.08275,0.88114,0.81561,0.84558,0.62294,0.97799,0.58052,1.04273,0.0064855,0.0064855,0.0064855
73,12406.2,0.80475,0.62871,1.06991,0.87239,0.81576,0.84521,0.62279,0.97558,0.57695,1.03784,0.006436,0.006436,0.006436
74,12588.5,0.80404,0.63018,1.06589,0.88231,0.80639,0.84123,0.62447,0.97109,0.57523,1.0368,0.0063865,0.0063865,0.0063865
75,12757.3,0.81121,0.62451,1.07179,0.8975,0.81091,0.84521,0.62718,0.95975,0.55546,1.03425,0.006337,0.006337,0.006337
76,12946.1,0.82746,0.62918,1.07237,0.9086,0.80019,0.84479,0.62415,0.96732,0.57495,1.03602,0.0062875,0.0062875,0.0062875
77,13122.4,0.81588,0.7427,1.05954,0.88531,0.80708,0.84988,0.62602,0.96396,0.56277,1.03294,0.006238,0.006238,0.006238
78,13300,0.80429,0.61071,1.0709,0.90784,0.79918,0.8507,0.62865,0.96104,0.55047,1.0311,0.0061885,0.0061885,0.0061885
79,13467.6,0.79765,0.59957,1.06281,0.89844,0.81542,0.8514,0.63234,0.94271,0.54544,1.02806,0.006139,0.006139,0.006139
80,13648.4,0.7869,0.59816,1.05616,0.9055,0.806,0.84361,0.62862,0.95431,0.5534,1.02714,0.0060895,0.0060895,0.0060895
81,13833.1,0.80268,0.60042,1.06152,0.90002,0.80964,0.85256,0.63484,0.95463,0.54749,1.02895,0.00604,0.00604,0.00604
82,14013.5,0.79028,0.59492,1.0631,0.89474,0.81377,0.85068,0.63291,0.94591,0.56087,1.02604,0.0059905,0.0059905,0.0059905
83,14192.6,0.79306,0.59926,1.06196,0.88483,0.82152,0.85221,0.63721,0.93971,0.54082,1.02246,0.005941,0.005941,0.005941
84,14375.8,0.8097,0.6017,1.06306,0.89833,0.81214,0.85047,0.63495,0.95841,0.53359,1.0308,0.0058915,0.0058915,0.0058915
85,14548.7,0.79962,0.61048,1.06105,0.89377,0.81675,0.85078,0.6387,0.94039,0.53461,1.02246,0.005842,0.005842,0.005842
86,14714.4,0.78557,0.59159,1.05132,0.89873,0.81214,0.85247,0.6405,0.94709,0.54695,1.02414,0.0057925,0.0057925,0.0057925
87,14892.4,0.77362,0.57224,1.04361,0.89793,0.82216,0.85274,0.63983,0.93807,0.52814,1.02267,0.005743,0.005743,0.005743
88,15068.3,0.79175,0.58415,1.05937,0.91886,0.80913,0.85373,0.63571,0.94219,0.52758,1.02133,0.0056935,0.0056935,0.0056935
89,15245.8,0.79678,0.58952,1.0573,0.89287,0.82565,0.85726,0.64044,0.93836,0.53055,1.02269,0.005644,0.005644,0.005644
90,15422.1,0.78101,0.58314,1.05389,0.90419,0.82184,0.8585,0.63655,0.94947,0.522,1.02333,0.0055945,0.0055945,0.0055945
91,15597.5,0.78231,0.57516,1.05746,0.88622,0.82663,0.85711,0.63939,0.93811,0.52668,1.01546,0.005545,0.005545,0.005545
92,15774.9,0.79038,0.58034,1.05537,0.89658,0.82635,0.85487,0.64059,0.92797,0.52123,1.01559,0.0054955,0.0054955,0.0054955
93,15946.6,0.77087,0.56886,1.04264,0.91688,0.81633,0.85711,0.64191,0.92698,0.51026,1.01598,0.005446,0.005446,0.005446
94,16127.1,0.7763,0.57294,1.0537,0.89317,0.83051,0.85752,0.64037,0.9354,0.51218,1.01728,0.0053965,0.0053965,0.0053965
95,16304.3,0.77134,0.56725,1.04849,0.90951,0.81818,0.86071,0.64568,0.92386,0.512,1.01258,0.005347,0.005347,0.005347
96,16482.5,0.77281,0.56649,1.04421,0.92605,0.81804,0.86404,0.6452,0.92712,0.51213,1.01403,0.0052975,0.0052975,0.0052975
97,16658.8,0.7792,0.57127,1.05173,0.92266,0.81629,0.86706,0.64851,0.91952,0.49581,1.01181,0.005248,0.005248,0.005248
98,16835.8,0.7669,0.56091,1.04332,0.89902,0.83079,0.86159,0.64534,0.93344,0.50135,1.0184,0.0051985,0.0051985,0.0051985
99,17011.9,0.76022,0.55731,1.04097,0.92435,0.82726,0.86278,0.64514,0.92458,0.49822,1.01568,0.005149,0.005149,0.005149
100,17188.4,0.76309,0.55377,1.0479,0.9022,0.83717,0.86495,0.64641,0.92151,0.49681,1.0111,0.0050995,0.0050995,0.0050995
101,17367.6,0.75546,0.54967,1.03977,0.89282,0.83218,0.86319,0.64689,0.9285,0.50866,1.01067,0.00505,0.00505,0.00505
