epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.823,3.43848,4.76892,4.21796,0.002,0.18524,0.00837,0.002,4.02731,8.90248,3.94527,0.00330952,0.00330952,0.00330952
2,381.182,3.40372,4.43965,4.06571,0.25219,0.0456,0.00115,0.00029,3.51853,26.9129,4.41762,0.00660997,0.00660997,0.00660997
3,554.185,2.85673,3.37067,3.11173,0.32502,0.12131,0.05088,0.01614,2.97809,40.8727,2.8441,0.00987743,0.00987743,0.00987743
4,731.835,2.09526,2.47454,2.25026,0.14516,0.22397,0.09076,0.04188,2.57856,7.56188,2.31074,0.0098515,0.0098515,0.0098515
5,909.722,1.78845,2.10438,1.88584,0.22278,0.34762,0.19498,0.10111,2.20227,3.14228,1.94373,0.009802,0.009802,0.009802
6,1085.19,1.65437,1.94723,1.70397,0.3542,0.38875,0.29594,0.17434,2.01628,2.28227,1.80486,0.0097525,0.0097525,0.0097525
7,1259.43,1.5291,1.74381,1.62211,0.35624,0.41928,0.35624,0.21138,1.81369,2.1197,1.66211,0.009703,0.009703,0.009703
8,1439.82,1.46785,1.67518,1.5618,0.42734,0.4341,0.40456,0.24429,1.77097,2.01713,1.60099,0.0096535,0.0096535,0.0096535
9,1622.5,1.39596,1.56627,1.49229,0.38008,0.42201,0.36997,0.23096,1.77999,1.98751,1.58506,0.009604,0.009604,0.009604
10,1801.35,1.35868,1.49966,1.45748,0.64512,0.43724,0.47134,0.28194,1.62701,1.7818,1.47857,0.0095545,0.0095545,0.0095545
11,1977.85,1.32293,1.43025,1.43651,0.48643,0.49454,0.45578,0.29726,1.62042,1.96952,1.45508,0.009505,0.009505,0.009505
12,2159.17,1.2527,1.38481,1.38822,0.617,0.5087,0.52771,0.32595,1.58317,1.54365,1.42482,0.0094555,0.0094555,0.0094555
13,2343,1.21535,1.29827,1.3518,0.59751,0.56217,0.56791,0.35588,1.53356,1.54719,1.40064,0.009406,0.009406,0.009406
14,2518.28,1.20252,1.27421,1.346,0.64871,0.57085,0.58869,0.36959,1.46632,1.39327,1.35337,0.0093565,0.0093565,0.0093565
15,2693.74,1.2086,1.23352,1.33307,0.66767,0.53253,0.58603,0.36537,1.53745,1.32605,1.37179,0.009307,0.009307,0.009307
16,2872.29,1.19185,1.21712,1.329,0.67538,0.57707,0.61737,0.39154,1.46048,1.27622,1.33429,0.0092575,0.0092575,0.0092575
17,3051.72,1.15415,1.1706,1.3085,0.70719,0.58454,0.63756,0.41018,1.43805,1.21453,1.32562,0.009208,0.009208,0.009208
18,3227.38,1.17615,1.19072,1.30234,0.66315,0.58806,0.62379,0.40671,1.39884,1.24401,1.28232,0.0091585,0.0091585,0.0091585
19,3405.18,1.14424,1.13498,1.29095,0.70254,0.59848,0.64614,0.4111,1.4087,1.23284,1.29621,0.009109,0.009109,0.009109
20,3585.38,1.1354,1.10684,1.28416,0.76768,0.60789,0.65846,0.42609,1.38095,1.19592,1.28309,0.0090595,0.0090595,0.0090595
21,3762.71,1.10827,1.06252,1.27077,0.73629,0.64811,0.68835,0.45077,1.35805,1.08385,1.25639,0.00901,0.00901,0.00901
22,3941.18,1.1043,1.0891,1.27167,0.76247,0.61498,0.66906,0.4477,1.35874,1.1444,1.25749,0.0089605,0.0089605,0.0089605
