epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.089,3.42625,4.81946,4.21728,0.00193,0.18599,0.00813,0.00243,4.06179,5.09018,4.15123,0.00330952,0.00330952,0.00330952
2,467.08,3.43635,4.71472,4.17991,0.00049,0.21913,0.00729,0.00192,4.06219,5.03561,4.10408,0.00660997,0.00660997,0.00660997
3,675.089,3.03381,3.691,3.39447,0.51379,0.0497,0.00772,0.002,3.72931,19.7619,5.6238,0.00987743,0.00987743,0.00987743
4,884.337,2.3472,2.71167,2.59859,0.14994,0.23543,0.08858,0.04414,2.62514,4.78729,2.62185,0.0098515,0.0098515,0.0098515
5,1091.1,1.9453,2.26948,2.13816,0.42566,0.18934,0.1462,0.09432,2.36684,2.97787,2.22853,0.009802,0.009802,0.009802
6,1304.28,1.72722,2.07282,1.82105,0.31431,0.36374,0.23471,0.15447,2.0472,2.96818,1.92639,0.0097525,0.0097525,0.0097525
7,1513.94,1.56968,1.83019,1.68593,0.35971,0.34813,0.30102,0.19864,1.90721,2.5133,1.7826,0.009703,0.009703,0.009703
8,1722.5,1.49425,1.74142,1.60645,0.33613,0.37439,0.31798,0.20728,1.83668,2.04139,1.73717,0.0096535,0.0096535,0.0096535
9,1930.11,1.42353,1.64339,1.53075,0.36392,0.42202,0.31942,0.19488,1.71544,2.15597,1.65455,0.009604,0.009604,0.009604
10,2136.39,1.37768,1.56433,1.49196,0.46241,0.46814,0.41595,0.26265,1.6027,1.89678,1.54786,0.0095545,0.0095545,0.0095545
11,2345.62,1.33453,1.48941,1.46011,0.36514,0.47164,0.38179,0.2465,1.58312,2.27787,1.56885,0.009505,0.009505,0.009505
12,2554.05,1.2509,1.47117,1.3976,0.53581,0.44253,0.45448,0.27677,1.57005,1.61921,1.53118,0.0094555,0.0094555,0.0094555
13,2761.46,1.22134,1.35718,1.36779,0.4707,0.5033,0.46636,0.30225,1.53288,1.616,1.4846,0.009406,0.009406,0.009406
14,2969.28,1.19777,1.33265,1.35477,0.57853,0.52164,0.5252,0.33055,1.41961,1.58035,1.41135,0.0093565,0.0093565,0.0093565
15,3176.56,1.1992,1.29402,1.34631,0.64307,0.52819,0.55999,0.35434,1.44402,1.39484,1.41163,0.009307,0.009307,0.009307
16,3383.05,1.17595,1.26234,1.32703,0.62743,0.58468,0.57649,0.37425,1.37037,1.3816,1.37277,0.0092575,0.0092575,0.0092575
17,3590.71,1.14048,1.21812,1.30126,0.6343,0.57194,0.59785,0.38622,1.34256,1.28599,1.3476,0.009208,0.009208,0.009208
18,3798.24,1.16187,1.24464,1.29971,0.57384,0.53226,0.53013,0.34702,1.38339,1.41806,1.37027,0.0091585,0.0091585,0.0091585
19,4005.3,1.11587,1.17034,1.27756,0.60657,0.61146,0.60606,0.39541,1.30382,1.52852,1.30971,0.009109,0.009109,0.009109
20,4214.58,1.11286,1.14707,1.27621,0.73106,0.58025,0.63481,0.40422,1.35424,1.25269,1.3346,0.0090595,0.0090595,0.0090595
