epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.209,3.4208,4.85212,4.20883,0.00181,0.18825,0.0047,0.00143,4.03849,8.9201,3.95871,0.00330952,0.00330952,0.00330952
2,373.376,3.33429,4.41946,3.97405,0.02363,0.10375,0.00852,0.00224,3.25636,26.9265,3.10185,0.00660997,0.00660997,0.00660997
3,555.536,2.65135,3.07125,2.90582,0.03497,0.10098,0.01455,0.00485,2.8865,33.6142,2.84571,0.00987743,0.00987743,0.00987743
4,730.556,1.9682,2.30203,2.11118,0.33083,0.24005,0.17059,0.1054,2.48086,4.58903,2.08279,0.0098515,0.0098515,0.0098515
5,913.638,1.71909,1.9895,1.79927,0.28128,0.32548,0.22789,0.14592,2.17659,3.98135,1.85715,0.009802,0.009802,0.009802
6,1089.8,1.59113,1.83606,1.63431,0.34059,0.41729,0.32134,0.20311,1.98588,3.17878,1.7511,0.0097525,0.0097525,0.0097525
7,1272.86,1.47406,1.66648,1.55231,0.43246,0.36404,0.36925,0.23882,1.88555,1.89506,1.63481,0.009703,0.009703,0.009703
8,1450.24,1.42763,1.59004,1.50711,0.35598,0.43387,0.37919,0.23215,1.80907,2.41561,1.58722,0.0096535,0.0096535,0.0096535
9,1630.9,1.34597,1.49308,1.45089,0.4548,0.44806,0.42108,0.2715,1.6878,1.82023,1.48822,0.009604,0.009604,0.009604
10,1808.26,1.3183,1.42892,1.42021,0.49565,0.50544,0.48154,0.31073,1.58403,1.70501,1.4348,0.0095545,0.0095545,0.0095545
11,1988.48,1.27565,1.36612,1.40109,0.54552,0.53307,0.50362,0.3209,1.59412,1.97635,1.41524,0.009505,0.009505,0.009505
12,2172.04,1.21772,1.34717,1.35032,0.5911,0.52258,0.52483,0.31412,1.61138,1.47377,1.43522,0.0094555,0.0094555,0.0094555
13,2347.52,1.16425,1.26006,1.31851,0.55059,0.59031,0.5844,0.37972,1.46404,1.42196,1.34477,0.009406,0.009406,0.009406
14,2523.75,1.15811,1.22465,1.31126,0.61127,0.57698,0.58107,0.3832,1.41304,1.58279,1.31685,0.0093565,0.0093565,0.0093565
15,2693.92,1.15904,1.18919,1.30414,0.64597,0.60278,0.61634,0.41001,1.40052,1.2611,1.3164,0.009307,0.009307,0.009307
16,2877.54,1.13328,1.16651,1.28983,0.68688,0.6129,0.64382,0.42433,1.3913,1.22346,1.30284,0.0092575,0.0092575,0.0092575
17,3048.16,1.10958,1.13554,1.2729,0.67675,0.52578,0.58804,0.36782,1.39844,1.35896,1.32234,0.009208,0.009208,0.009208
18,3233.4,1.12073,1.17634,1.26233,0.6941,0.60971,0.63325,0.42323,1.32821,1.26287,1.25559,0.0091585,0.0091585,0.0091585
19,3413.11,1.08841,1.08983,1.2505,0.72122,0.60795,0.63963,0.40733,1.36042,1.25685,1.28193,0.009109,0.009109,0.009109
20,3597.11,1.07717,1.05861,1.24337,0.76677,0.61087,0.67441,0.44786,1.29934,1.12145,1.23009,0.0090595,0.0090595,0.0090595
21,3775.72,1.05681,1.02644,1.23295,0.7233,0.64965,0.69436,0.47055,1.28053,1.09028,1.21423,0.00901,0.00901,0.00901
22,3956.01,1.05218,1.03046,1.23391,0.78469,0.65114,0.70492,0.47816,1.27628,1.03951,1.21111,0.0089605,0.0089605,0.0089605
23,4143.08,1.03614,0.99592,1.21843,0.74779,0.6736,0.71176,0.4771,1.27342,1.03516,1.22053,0.008911,0.008911,0.008911
24,4309.69,1.02384,1.00761,1.2041,0.78272,0.66374,0.72424,0.4905,1.23536,1.00238,1.19608,0.0088615,0.0088615,0.0088615
25,4488.18,1.01756,0.95787,1.20261,0.7422,0.65532,0.71293,0.49465,1.23404,1.18061,1.21127,0.008812,0.008812,0.008812
26,4660.26,1.00895,0.94558,1.18937,0.81025,0.66816,0.73773,0.50586,1.21264,1.00026,1.18269,0.0087625,0.0087625,0.0087625
27,4834.92,1.00631,0.94312,1.19637,0.7679,0.69318,0.73633,0.51293,1.19585,0.97987,1.16991,0.008713,0.008713,0.008713
28,5026.29,0.99626,0.92467,1.18325,0.78159,0.67863,0.7205,0.50004,1.20396,1.00007,1.18211,0.0086635,0.0086635,0.0086635
29,5199.08,0.9679,0.90072,1.17219,0.78706,0.70972,0.7552,0.51691,1.20463,0.92097,1.16506,0.008614,0.008614,0.008614
30,5379.48,0.97771,0.88931,1.17347,0.81665,0.68483,0.75248,0.5167,1.18323,0.95139,1.16052,0.0085645,0.0085645,0.0085645
31,5562.93,0.96079,0.87399,1.15922,0.81572,0.7103,0.76011,0.52957,1.16356,0.8889,1.14982,0.008515,0.008515,0.008515
32,5735.05,0.95644,0.86455,1.16116,0.79743,0.72185,0.75935,0.52746,1.18611,0.90636,1.17733,0.0084655,0.0084655,0.0084655
33,5923.94,0.93445,0.85439,1.16281,0.79899,0.71926,0.75115,0.53484,1.14184,0.88323,1.14717,0.008416,0.008416,0.008416
34,6109.6,0.94371,0.86183,1.15228,0.79859,0.73146,0.76877,0.53812,1.14226,0.86683,1.14088,0.0083665,0.0083665,0.0083665
35,6287.9,0.95644,0.84073,1.16053,0.79863,0.73964,0.78032,0.54443,1.13087,0.88233,1.13832,0.008317,0.008317,0.008317
36,6461.24,0.92234,0.8296,1.15493,0.8315,0.74303,0.78508,0.55219,1.10908,0.82288,1.12863,0.0082675,0.0082675,0.0082675
37,6640.12,0.94092,0.81961,1.15719,0.77434,0.75304,0.78,0.55926,1.12256,0.89271,1.13067,0.008218,0.008218,0.008218
38,6818.82,0.92621,0.80412,1.13871,0.82573,0.75551,0.78745,0.55998,1.09769,0.79227,1.1217,0.0081685,0.0081685,0.0081685
39,6995.62,0.91375,0.7934,1.13708,0.84816,0.72822,0.78811,0.56293,1.11358,0.81172,1.12582,0.008119,0.008119,0.008119
40,7174.55,0.90973,0.78945,1.13543,0.81049,0.74984,0.79178,0.56763,1.09469,0.78239,1.11894,0.0080695,0.0080695,0.0080695
41,7345.09,0.92403,0.78741,1.13555,0.81108,0.75612,0.77832,0.55175,1.1119,0.81817,1.12021,0.00802,0.00802,0.00802
42,7524.5,0.90942,0.78077,1.13382,0.81178,0.75218,0.78982,0.56469,1.10937,0.81978,1.11743,0.0079705,0.0079705,0.0079705
43,7701.59,0.90209,0.76476,1.1308,0.82098,0.76341,0.79802,0.56077,1.09704,0.79523,1.12088,0.007921,0.007921,0.007921
44,7869.77,0.90619,0.7817,1.12787,0.8595,0.74952,0.79828,0.57801,1.07359,0.73966,1.1058,0.0078715,0.0078715,0.0078715
45,8045.95,0.92,0.77391,1.14152,0.79346,0.77129,0.80027,0.57861,1.06488,0.79546,1.10612,0.007822,0.007822,0.007822
46,8219.4,0.87997,0.74681,1.11303,0.83318,0.77212,0.79862,0.58045,1.07054,0.72122,1.09922,0.0077725,0.0077725,0.0077725
47,8401.07,0.88945,0.74921,1.11736,0.83467,0.7728,0.80353,0.57819,1.05922,0.74361,1.1024,0.007723,0.007723,0.007723
48,8580.92,0.88237,0.74102,1.11434,0.85613,0.76287,0.80685,0.57812,1.06549,0.73461,1.10791,0.0076735,0.0076735,0.0076735
49,8756.67,0.87645,0.73407,1.10985,0.84336,0.75734,0.79869,0.57439,1.07348,0.72431,1.10084,0.007624,0.007624,0.007624
50,8944.15,0.86701,0.72683,1.10491,0.82883,0.77409,0.81242,0.58985,1.03212,0.73355,1.08177,0.0075745,0.0075745,0.0075745
51,9123.5,0.87514,0.73253,1.11049,0.87623,0.76678,0.81571,0.59015,1.03061,0.69319,1.08206,0.007525,0.007525,0.007525
52,9296.53,0.85064,0.7094,1.09359,0.83825,0.77501,0.81226,0.58965,1.03557,0.72051,1.08746,0.0074755,0.0074755,0.0074755
53,9471.58,0.87306,0.72831,1.1062,0.86134,0.77696,0.8159,0.59322,1.03348,0.6978,1.08058,0.007426,0.007426,0.007426
54,9653.92,0.86926,0.75208,1.10125,0.87382,0.77645,0.83233,0.60248,1.03981,0.66844,1.08015,0.0073765,0.0073765,0.0073765
