epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.084,3.46684,4.7856,4.21506,0.00182,0.18449,0.00797,0.00205,4.02804,8.89305,3.9521,0.00330952,0.00330952,0.00330952
2,193.889,3.40083,4.54529,4.08638,0.256,0.04505,0.00211,0.00058,3.2322,38.9014,3.41417,0.00660997,0.00660997,0.00660997
3,281.698,2.91512,3.48918,3.18994,0.12865,0.19503,0.07529,0.03504,2.95358,87.4999,2.85705,0.00987743,0.00987743,0.00987743
4,371.666,2.10741,2.46911,2.24138,0.35369,0.20927,0.1713,0.09179,2.43532,21.6501,2.18536,0.0098515,0.0098515,0.0098515
5,462.686,1.75175,2.06973,1.84921,0.52824,0.23827,0.21883,0.12472,2.07735,4.34465,1.8351,0.009802,0.009802,0.009802
6,553.066,1.61583,1.90357,1.67653,0.28462,0.39792,0.28723,0.16988,1.98375,4.05431,1.68925,0.0097525,0.0097525,0.0097525
7,643.298,1.48824,1.71245,1.577,0.56392,0.33789,0.35273,0.22626,1.8338,2.42185,1.60785,0.009703,0.009703,0.009703
8,732.126,1.43931,1.63455,1.52582,0.33942,0.35403,0.27541,0.1816,2.09104,3.84777,1.74415,0.0096535,0.0096535,0.0096535
9,821.704,1.36427,1.50835,1.4766,0.44034,0.38721,0.36074,0.23135,1.73288,2.12897,1.53484,0.009604,0.009604,0.009604
10,913.012,1.32189,1.4545,1.43097,0.49865,0.49042,0.46318,0.28967,1.67343,1.77835,1.49195,0.0095545,0.0095545,0.0095545
11,1003.75,1.29437,1.39483,1.40953,0.37264,0.50381,0.40839,0.26613,1.68997,1.74279,1.46224,0.009505,0.009505,0.009505
12,1093.57,1.23321,1.33311,1.36958,0.55579,0.50159,0.48717,0.30842,1.60017,1.58134,1.41831,0.0094555,0.0094555,0.0094555
13,1183.61,1.23637,1.28939,1.36597,0.58589,0.53541,0.53625,0.33667,1.53707,1.5087,1.39414,0.009406,0.009406,0.009406
14,1270.38,1.20135,1.24879,1.33516,0.65798,0.53537,0.58327,0.36961,1.48342,1.33342,1.34968,0.0093565,0.0093565,0.0093565
15,1363.64,1.18495,1.24246,1.33323,0.66067,0.54598,0.58535,0.36595,1.50361,1.48289,1.35082,0.009307,0.009307,0.009307
16,1452.92,1.17422,1.2048,1.31505,0.57556,0.48638,0.52386,0.32455,1.61907,1.53107,1.39394,0.0092575,0.0092575,0.0092575
17,1543.79,1.15389,1.17264,1.30446,0.67436,0.60479,0.6466,0.41336,1.43337,1.36142,1.30711,0.009208,0.009208,0.009208
18,1633.83,1.13979,1.12346,1.28649,0.66266,0.61963,0.65309,0.42685,1.37223,1.33592,1.27478,0.0091585,0.0091585,0.0091585
19,1724.36,1.13036,1.10516,1.26933,0.67755,0.62682,0.6576,0.42988,1.40136,1.27932,1.27355,0.009109,0.009109,0.009109
20,1813.44,1.10625,1.0745,1.26275,0.74709,0.61027,0.66912,0.42984,1.40981,1.17932,1.29867,0.0090595,0.0090595,0.0090595
21,1902.49,1.08628,1.05358,1.25239,0.71521,0.63766,0.67351,0.44974,1.30987,1.12755,1.23792,0.00901,0.00901,0.00901
22,1993.58,1.08241,1.03494,1.24924,0.75714,0.65182,0.70079,0.46184,1.3282,1.113,1.2408,0.0089605,0.0089605,0.0089605
23,2082.86,1.07872,1.02132,1.23598,0.73377,0.64699,0.69751,0.454,1.37497,1.06798,1.25966,0.008911,0.008911,0.008911
24,2173.19,1.07852,1.02623,1.24816,0.75819,0.63903,0.69234,0.4603,1.34205,1.07863,1.24734,0.0088615,0.0088615,0.0088615
25,2262.27,1.07779,0.99168,1.22836,0.74999,0.66322,0.7161,0.46988,1.33735,1.00951,1.24603,0.008812,0.008812,0.008812
26,2353.63,1.05284,0.97186,1.22046,0.68649,0.67162,0.69073,0.45546,1.32571,1.18818,1.2423,0.0087625,0.0087625,0.0087625
27,2442.71,1.05834,0.96259,1.22049,0.75102,0.69071,0.72223,0.48693,1.27513,0.99615,1.20674,0.008713,0.008713,0.008713
28,2534.88,1.02164,0.9164,1.2154,0.70034,0.71496,0.7317,0.49703,1.26065,1.01894,1.19876,0.0086635,0.0086635,0.0086635
29,2626.52,1.0122,0.91871,1.19685,0.74378,0.68333,0.71223,0.48,1.262,1.01872,1.19905,0.008614,0.008614,0.008614
30,2715.75,1.01197,0.91438,1.20028,0.76606,0.7009,0.74226,0.51307,1.23129,0.96584,1.18115,0.0085645,0.0085645,0.0085645
31,2806.89,1.01242,0.90075,1.19302,0.77794,0.69453,0.74622,0.50953,1.25471,0.91969,1.19172,0.008515,0.008515,0.008515
32,2896.07,1.0015,0.88902,1.18792,0.80727,0.71204,0.75799,0.51091,1.23387,0.89194,1.18472,0.0084655,0.0084655,0.0084655
33,2986.04,1.00893,0.86977,1.19007,0.82296,0.71853,0.76907,0.52859,1.19452,0.88484,1.16107,0.008416,0.008416,0.008416
34,3076.85,0.95809,0.83655,1.16823,0.80241,0.71059,0.76383,0.52642,1.21471,0.88067,1.166,0.0083665,0.0083665,0.0083665
