epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.702,3.41575,4.82498,4.19807,0.00191,0.19127,0.00515,0.00178,4.03211,8.92275,3.94873,0.00330952,0.00330952,0.00330952
2,290.172,3.18846,4.14766,3.7253,0.04229,0.0515,0.01401,0.00373,3.05447,8.20149,3.16963,0.00660997,0.00660997,0.00660997
3,465.61,2.57012,3.11719,2.90396,0.35962,0.14325,0.04651,0.01807,3.03903,37.8291,2.95486,0.00987743,0.00987743,0.00987743
4,650.348,2.04123,2.42212,2.28568,0.14308,0.29444,0.09452,0.04619,2.47271,4.47919,2.19026,0.0098515,0.0098515,0.0098515
5,832.03,1.81339,2.09146,1.95564,0.34575,0.31889,0.23318,0.14175,2.13277,3.55778,1.89907,0.009802,0.009802,0.009802
6,1014.67,1.63896,1.87183,1.72987,0.45414,0.41924,0.33852,0.2084,1.83824,2.38375,1.70465,0.0097525,0.0097525,0.0097525
7,1198.95,1.49679,1.67383,1.61281,0.39455,0.43677,0.3864,0.23023,1.81376,2.20208,1.64561,0.009703,0.009703,0.009703
8,1373.64,1.42154,1.57291,1.54455,0.41435,0.46029,0.41321,0.24923,1.71606,2.03383,1.58502,0.0096535,0.0096535,0.0096535
9,1555.32,1.34559,1.49431,1.48061,0.37868,0.48677,0.41626,0.25841,1.6499,2.08511,1.52279,0.009604,0.009604,0.009604
10,1736.95,1.3002,1.41414,1.43546,0.47002,0.50282,0.42551,0.24506,1.71766,3.28907,1.54693,0.0095545,0.0095545,0.0095545
11,1912.66,1.26325,1.32811,1.41155,0.48715,0.51316,0.48103,0.29845,1.61864,1.97339,1.50222,0.009505,0.009505,0.009505
12,2090.95,1.18153,1.30749,1.35658,0.53132,0.49429,0.48383,0.2959,1.51958,1.50943,1.40861,0.0094555,0.0094555,0.0094555
13,2270.92,1.14202,1.21245,1.31995,0.60448,0.58388,0.58018,0.36829,1.44332,1.35289,1.35486,0.009406,0.009406,0.009406
14,2450.87,1.1298,1.17325,1.30767,0.63699,0.54489,0.57328,0.37101,1.42318,1.27811,1.3552,0.0093565,0.0093565,0.0093565
15,2629.13,1.1178,1.15957,1.29642,0.72117,0.54342,0.61587,0.39404,1.40076,1.37879,1.32639,0.009307,0.009307,0.009307
16,2806.2,1.10835,1.1368,1.28804,0.67769,0.60324,0.64069,0.42533,1.32782,1.3717,1.28351,0.0092575,0.0092575,0.0092575
17,2983.32,1.07373,1.08588,1.26664,0.6749,0.62826,0.65352,0.42702,1.34474,1.28634,1.29602,0.009208,0.009208,0.009208
18,3164.1,1.1096,1.13987,1.26615,0.64892,0.61359,0.64416,0.43182,1.31582,1.25123,1.27393,0.0091585,0.0091585,0.0091585
19,3345.92,1.05221,1.04296,1.24469,0.71523,0.63423,0.67366,0.43692,1.37052,1.12963,1.29536,0.009109,0.009109,0.009109
20,3526.91,1.04179,1.02188,1.2351,0.75821,0.5965,0.67453,0.45718,1.24919,1.12631,1.24163,0.0090595,0.0090595,0.0090595
21,3708.96,1.02076,0.98332,1.22518,0.79412,0.6469,0.71577,0.48123,1.2793,1.01892,1.23955,0.00901,0.00901,0.00901
22,3892.37,1.02027,0.9841,1.22934,0.70722,0.66815,0.6998,0.46868,1.27613,1.26228,1.2371,0.0089605,0.0089605,0.0089605
23,4070.02,1.01078,0.95482,1.2185,0.78843,0.66657,0.7142,0.47854,1.25035,0.96808,1.23523,0.008911,0.008911,0.008911
24,4245.22,0.99782,0.97672,1.20325,0.7969,0.69516,0.74239,0.5085,1.22517,0.95853,1.20919,0.0088615,0.0088615,0.0088615
25,4429.94,0.98532,0.90881,1.19329,0.80265,0.65629,0.7244,0.49279,1.2719,0.98833,1.2321,0.008812,0.008812,0.008812
26,4611.05,0.98245,0.91137,1.18886,0.78345,0.70014,0.74865,0.50197,1.23808,0.95847,1.21807,0.0087625,0.0087625,0.0087625
27,4792.22,0.9743,0.9014,1.18575,0.81469,0.69968,0.75197,0.5125,1.20211,0.91826,1.20122,0.008713,0.008713,0.008713
28,4967.24,0.97813,0.88822,1.1858,0.73154,0.7248,0.75096,0.51356,1.20558,0.95404,1.21519,0.0086635,0.0086635,0.0086635
29,5148.2,0.94778,0.86037,1.1713,0.82666,0.72533,0.77613,0.53635,1.171,0.85207,1.17676,0.008614,0.008614,0.008614
30,5329.59,0.95315,0.8522,1.16766,0.76434,0.72976,0.76594,0.53138,1.17328,0.93395,1.17729,0.0085645,0.0085645,0.0085645
31,5513.53,0.93556,0.84998,1.15658,0.79847,0.73726,0.78396,0.5422,1.17145,0.84295,1.17919,0.008515,0.008515,0.008515
32,5694.29,0.92471,0.82416,1.14965,0.78881,0.72443,0.77311,0.54128,1.14117,0.92658,1.1674,0.0084655,0.0084655,0.0084655
33,5873.46,0.90214,0.81844,1.15187,0.82078,0.74,0.77346,0.54155,1.13839,0.85627,1.16877,0.008416,0.008416,0.008416
